,Id,Price,RoomNr,Surface,ZIP,Latitude,Longitude
0,5964984,1700.0,2.5,68.0,6010,47.02889,8.29199
1,5967052,1570.0,2.5,62.0,6020,47.082,8.27239
2,5967051,2080.0,3.5,75.0,6003,47.04333,8.30465
3,5879782,1450.0,3.5,77.0,6020,47.08092,8.26496
4,4571524,1280.0,2.0,51.0,6020,47.08093,8.26953
5,5977466,1820.0,5.5,110.0,6030,47.08724,8.35206
6,5941971,2160.0,4.5,102.0,6006,47.04961,8.34924
7,5973610,1620.0,3.5,91.0,6032,47.08455,8.28936
8,5975433,2340.0,2.5,73.0,6005,47.04035,8.30415
9,5972752,2100.0,4.5,110.0,6032,47.09004,8.29414
10,5972750,1660.0,3.5,82.0,6032,47.09004,8.29414
11,5960776,1530.0,3.0,73.0,6003,47.0522,8.29753
12,5594883,1650.0,3.5,80.0,6010,47.03204,8.27056
13,5963051,1110.0,1.0,31.0,6003,47.04774,8.30515
14,5927640,2630.0,4.5,109.0,6010,47.027,8.30149
15,5954599,2058.0,3.5,86.0,6010,47.02693,8.30115
16,5945761,2090.0,3.5,86.0,6010,47.02626,8.30027
17,5935983,1775.0,2.5,69.0,6010,47.02626,8.30027
18,5880118,2235.0,3.5,91.0,6010,47.0329,8.33048
19,5961802,1510.0,2.5,52.0,6006,47.05984,8.30959
20,5961175,2015.0,3.5,101.0,6020,47.07086,8.25988
21,4548088,1400.0,3.5,67.0,6020,47.08441,8.26981
24,5968864,2350.0,3.5,100.0,6005,47.04364,8.31218
25,5952867,1500.0,4.0,100.0,6030,47.07264,8.3358
26,5359313,1790.0,3.5,86.0,6032,47.07466,8.2906
27,5866723,1590.0,3.5,75.0,6030,47.07563,8.33571
28,5932211,1580.0,2.0,52.0,6010,47.03473,8.28746
29,5960049,1430.0,3.0,58.0,6015,47.05691,8.285
30,5927453,1710.0,3.5,71.0,6003,47.04436,8.30768
31,5228359,2280.0,3.5,100.0,6010,47.03226,8.2892
32,5953687,2180.0,4.5,98.0,6006,47.0602,8.30983
33,5910541,1810.0,4.5,90.0,6045,47.04314,8.3735
34,5899367,1090.0,1.0,34.0,6006,47.0602,8.30983
35,5880877,1490.0,3.5,74.0,6043,47.06644,8.36284
36,3875847,1890.0,3.5,74.0,6003,47.04333,8.30464
37,5830395,2690.0,4.5,117.0,6010,47.03321,8.28392
40,5608201,170.0,1.0,15.0,6010,47.03974,8.27318
41,5463417,550.0,1.0,23.0,6005,47.0378,8.30407
42,5944499,550.0,1.0,15.0,6006,47.05831,8.34717
43,5956851,600.0,1.0,14.0,6048,47.00967,8.304
44,5841676,650.0,4.0,96.0,6048,47.01593,8.30985
45,5938633,650.0,1.0,25.0,6015,47.06295,8.28183
47,5973508,820.0,1.0,27.0,6003,47.04687,8.30876
51,5974735,870.0,1.0,27.0,6003,47.05328,8.29413
52,5966826,880.0,1.5,34.0,6048,47.01787,8.3132
53,5970067,890.0,1.0,36.0,6005,47.03993,8.30452
54,5973378,890.0,1.0,25.0,6030,47.06995,8.31783
55,4400099,900.0,2.0,39.0,6020,47.07606,8.27145
56,5866667,938.0,1.0,18.0,6003,47.04874,8.29959
59,4817368,990.0,1.0,25.0,6005,47.03195,8.3057
63,5977131,1000.0,1.5,40.0,6015,47.06619,8.28332
64,5854761,1020.0,1.0,30.0,6006,47.06483,8.31212
66,5944429,1090.0,3.0,61.0,6015,47.06295,8.28183
67,5475891,1100.0,2.0,41.0,6020,47.07484,8.27558
68,5890479,1100.0,3.5,1.0,6010,47.03532,8.28431
69,5963068,1100.0,1.5,22.0,6004,47.0517,8.3041
70,5966978,1100.0,2.0,50.0,6006,47.05642,8.34683
71,5976692,1100.0,1.5,42.0,6020,47.07132,8.29159
72,5969980,1120.0,2.0,48.0,6005,47.03603,8.3145
77,4817392,1190.0,1.5,31.0,6005,47.03195,8.3057
78,5921173,1190.0,3.0,58.0,6015,47.05568,8.2832
79,5403445,1200.0,2.0,33.0,6006,47.06105,8.31852
80,5918781,1200.0,2.0,45.0,6020,47.07516,8.28782
82,5862475,1235.0,3.0,64.0,6045,47.04602,8.37333
83,5187759,1240.0,2.0,42.0,6006,47.05759,8.3109
85,5913739,1267.0,1.5,33.0,6005,47.03339,8.31021
88,5864482,1280.0,2.0,45.0,6004,47.05313,8.3077
90,4898422,1290.0,3.5,68.0,6020,47.07584,8.27682
93,5936136,1290.0,3.0,59.0,6010,47.03497,8.28759
94,5952819,1290.0,2.0,51.0,6010,47.02963,8.29015
96,5934906,1295.0,2.5,63.0,6030,47.0733,8.32868
97,5852957,1300.0,2.0,55.0,6004,47.0576,8.30019
99,5928665,1300.0,4.0,68.0,6003,47.05233,8.28259
100,5931300,1300.0,1.0,49.0,6010,47.02603,8.29532
101,5944291,1310.0,3.0,67.0,6014,47.05496,8.28382
102,5971340,1310.0,2.5,59.0,6010,47.03043,8.27196
103,5971783,1325.0,1.0,16.0,6006,47.05614,8.31189
104,5971862,1325.0,1.0,19.0,6006,47.05677,8.32792
105,5422014,1330.0,4.5,80.0,6032,47.08477,8.28614
106,5608994,1330.0,3.0,60.0,6020,47.08137,8.2692
108,5872027,1330.0,2.5,55.0,6014,47.05468,8.27966
109,5913882,1330.0,3.0,61.0,6020,47.08938,8.27177
110,4724983,1340.0,2.0,46.0,6004,47.05858,8.30127
111,5625483,1340.0,2.0,51.0,6003,47.05356,8.28739
112,5914586,1340.0,1.5,54.0,6003,47.04772,8.30558
113,5923772,1340.0,1.5,36.0,6005,47.03648,8.32753
115,5950541,1340.0,2.5,59.0,6010,47.02816,8.29008
117,5717204,1350.0,3.5,62.0,6020,47.07616,8.27082
118,5773880,1350.0,3.0,62.0,6023,47.09576,8.27611
119,5913069,1350.0,2.5,60.0,6014,47.05468,8.27967
120,5976698,1350.0,3.0,64.0,6010,47.03747,8.29759
122,5948000,1355.0,1.5,26.0,6004,47.05415,8.30911
123,5954576,1360.0,3.0,60.0,6003,47.05235,8.29627
124,5955557,1360.0,1.5,45.0,6004,47.05564,8.31018
125,5881460,1370.0,2.0,47.0,6004,47.05852,8.30106
126,5937748,1375.0,2.5,40.0,6043,47.07339,8.3612
127,5773822,1380.0,1.5,92.0,6010,47.03128,8.27398
128,5902229,1380.0,3.5,75.0,6010,47.03429,8.28609
129,5977396,1380.0,2.0,44.0,6003,47.0498,8.30287
131,4817397,1390.0,2.5,43.0,6005,47.03195,8.3057
132,5319165,1390.0,2.5,70.0,6020,47.07584,8.27682
133,5889889,1390.0,3.0,64.0,6004,47.0564,8.29001
134,5904184,1390.0,2.5,55.0,6004,47.06034,8.30889
135,5921178,1390.0,3.5,67.0,6020,47.08441,8.26981
137,5876143,1400.0,3.5,62.0,6010,47.03509,8.28414
138,5951288,1400.0,3.5,75.0,6010,47.03486,8.28102
139,5957202,1400.0,3.0,60.0,6020,47.08137,8.26921
141,5928569,1410.0,2.5,65.0,6032,47.07587,8.29397
142,5948328,1410.0,2.5,60.0,6032,47.07668,8.29021
143,5948860,1410.0,3.0,63.0,6020,47.07801,8.27174
145,5872647,1415.0,2.0,64.0,6004,47.052,8.30427
146,5712499,1420.0,4.5,75.0,6020,47.07577,8.271
147,5872028,1420.0,2.0,56.0,6004,47.052,8.30427
148,5894982,1420.0,2.5,58.0,6010,47.03821,8.29748
149,5943781,1420.0,3.0,57.0,6005,47.03699,8.32532
150,5943794,1420.0,2.5,64.0,6032,47.07556,8.29144
151,5973820,1420.0,2.0,59.0,6020,47.08786,8.27833
153,5971784,1425.0,1.0,17.0,6006,47.05614,8.31189
154,5563272,1430.0,2.5,35.0,6003,47.05411,8.28963
155,5628516,1430.0,2.5,35.0,6003,47.05411,8.28951
156,5977425,1430.0,2.5,67.0,6010,47.03292,8.28878
157,5929135,1435.0,3.0,68.0,6010,47.02921,8.27777
160,5962018,1445.0,4.5,104.0,6020,47.07166,8.28292
161,5559925,1450.0,3.0,60.0,6006,47.06596,8.31204
162,5596567,1450.0,3.0,68.0,6014,47.05051,8.27396
164,5943557,1450.0,4.0,85.0,6032,47.07689,8.29357
165,5962871,1450.0,2.5,55.0,6043,47.06855,8.3655
166,5965859,1450.0,3.5,77.0,6012,47.0348,8.26214
167,5970045,1450.0,2.5,62.0,6030,47.08009,8.33932
168,4990436,1460.0,3.0,68.0,6030,47.08406,8.35008
169,5825806,1460.0,3.5,70.0,6003,47.05311,8.28654
171,5970653,1460.0,2.5,64.0,6032,47.07556,8.29144
173,5869509,1465.0,3.0,58.0,6003,47.05264,8.28441
174,4947592,1470.0,3.5,64.0,6003,47.04482,8.30901
175,5965766,1470.0,3.0,72.0,6014,47.05311,8.25158
177,5943034,1475.0,3.5,78.0,6030,47.07338,8.32914
178,4890119,1480.0,3.5,74.0,6014,47.05426,8.27873
179,5831705,1480.0,3.0,70.0,6048,47.01361,8.30878
180,5845494,1480.0,3.5,77.0,6014,47.04843,8.25762
181,5949062,1480.0,3.5,73.0,6045,47.0415,8.3626
185,5906349,1485.0,2.5,83.0,6032,47.07766,8.29013
186,5976100,1485.0,2.5,63.0,6032,47.07668,8.29021
188,5743005,1490.0,4.5,74.0,6020,47.07615,8.27063
189,5752691,1490.0,3.0,60.0,6006,47.06596,8.31204
